Campaign,Asset Group,Asset Type,Asset Text,Final URL,Business Name,Call to Action
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Chicago Airport Car Service",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"O'Hare Black Car Service",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Midway Airport Limo",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"24/7 Airport Transfers",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Professional Airport Pickup",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Flight Tracking Included",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Meet & Greet Service",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Luxury Airport Transport",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Reliable O'Hare Service",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Book Airport Ride Now",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Premium Black Car Service",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Chicago Airport Limo",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"ORD & MDW Transfers",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"On-Time Guarantee",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Headline,"Corporate Airport Service",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Long Headline,"Professional Chicago Airport Transportation with Flight Tracking",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Long Headline,"Luxury Black Car Service to O'Hare and Midway Airports",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Long Headline,"Premium Airport Transfers with Meet & Greet Service",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Long Headline,"Reliable 24/7 Chicago Airport Car Service - Book Now",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Long Headline,"Executive Airport Transportation for Business Travelers",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Description,"Professional airport car service to O'Hare & Midway. Flight tracking, meet & greet, 24/7 availability. Book online instantly.",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Description,"Luxury black car service for Chicago airports. Professional chauffeurs, real-time flight monitoring, guaranteed on-time pickup.",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Description,"Premium airport transportation in Chicago. Serving ORD & MDW with executive sedans and SUVs. Reserve your ride today.",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Description,"Reliable Chicago airport transfers. Corporate accounts, NET-30 billing available. Professional drivers, luxury vehicles.",https://chicagoairportblackcar.com,,
Performance Max - Airport,Airport Transportation - Chicago,Business Name,"Chicago Airport Black Car",https://chicagoairportblackcar.com,"Chicago Airport Black Car",
Performance Max - Airport,Airport Transportation - Chicago,Call to Action,"Book Now",https://chicagoairportblackcar.com,,"Book Now"
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Chicago Executive Car Service",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Corporate Transportation",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Business Travel Solutions",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Executive Black Car",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Corporate Accounts Available",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"NET-30 Billing Options",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Professional Chauffeurs",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Hourly Car Service",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Chicago Business Travel",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Executive Sedan Service",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Corporate Event Transport",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Roadshow Transportation",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Client Entertainment",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"Board Meeting Transport",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Headline,"VIP Business Service",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Long Headline,"Professional Corporate Car Service with NET-30 Billing Options",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Long Headline,"Executive Transportation for Chicago Business Professionals",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Long Headline,"Reliable Corporate Black Car Service - Hourly & Point-to-Point",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Long Headline,"Premium Business Travel Solutions with Dedicated Account Manager",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Long Headline,"Chicago Executive Car Service for Roadshows & Corporate Events",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Description,"Professional corporate car service in Chicago. Executive sedans, SUVs, hourly service. Corporate accounts with NET-30 billing.",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Description,"Executive transportation for business travelers. Dedicated account managers, real-time tracking, professional chauffeurs.",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Description,"Premium corporate black car service. Roadshows, client entertainment, board meetings. Flexible billing, instant booking.",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Description,"Chicago executive car service for business professionals. Reliable, professional, on-time. Corporate rates available.",https://chicagoexecutivecarservice.com,,
Performance Max - Corporate,Corporate Transportation - Chicago,Business Name,"Chicago Executive Car Service",https://chicagoexecutivecarservice.com,"Chicago Executive Car Service",
Performance Max - Corporate,Corporate Transportation - Chicago,Call to Action,"Get Quote",https://chicagoexecutivecarservice.com,,"Get Quote"
Performance Max - Wedding,Wedding Transportation - Chicago,Headline,"Chicago Wedding Limo",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Headline,"Wedding Transportation",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Headline,"Bridal Party Transport",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Headline,"Wedding Guest Shuttles",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Headline,"Elegant Wedding Cars",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Headline,"Luxury Wedding Service",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Headline,"Wedding Day Transport",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Headline,"Bride & Groom Limo",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Headline,"Wedding Party Bus",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Headline,"Chicago Wedding Cars",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Headline,"Romantic Getaway Car",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Headline,"Photo-Ready Vehicles",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Headline,"Wedding Coordinator",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Headline,"Red Carpet Service",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Headline,"Your Special Day",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Long Headline,"Elegant Chicago Wedding Transportation for Your Special Day",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Long Headline,"Luxury Wedding Limousines & Guest Shuttle Services",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Long Headline,"Professional Wedding Transportation with Dedicated Coordinator",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Long Headline,"Premium Bridal Party Transport - Photo-Ready Luxury Vehicles",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Long Headline,"Chicago Wedding Car Service - Stretch Limos & Party Buses",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Description,"Elegant wedding transportation in Chicago. Luxury limos, guest shuttles, bridal party transport. Make your day unforgettable.",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Description,"Premium wedding car service. Stretch limousines, SUVs, party buses. Dedicated wedding coordinator, red carpet service.",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Description,"Chicago wedding transportation specialists. Photo-ready vehicles, professional chauffeurs, seamless coordination.",https://chicagoweddingtransportation.com,,
Performance Max - Wedding,Wedding Transportation - Chicago,Description,"Luxury wedding limo service. Bride & groom cars, guest shuttles, after-party transport. Book your dream wedding ride.",https://chicagoweddingtransportation.com,,
